address,body,date
VK-BANKALRT,"[Bank Notice] Your account is blocked due to KYC failure. Click here immediately to update: http://bit.ly/kyc-alert","2025-08-05T11:34:00.000Z"
AMZ-IN,"Amazon: Your order #456789 has been shipped. Track here: amazon.in/trackorder","2025-08-05T11:26:00.000Z"
BZ-HDFC,"HDFC Bank: Rs. 2,000 debited from A/C ending 1234 on 05-Aug. Avl bal: Rs. 8,500.","2025-08-05T11:06:00.000Z"
AD-PROMO,"Congrats! You've won a ₹50,000 cash reward. Claim now before midnight: www.claim-now-prize.in","2025-08-05T10:36:00.000Z"
TM-ZOMATO,"Zomato: Your food is being prepared 🍕. Get ready to eat!","2025-08-05T10:06:00.000Z"
BZ-GOVT,"URGENT: Your PAN will be deactivated. Update now: https://gov-kyc-verify.cc","2025-08-05T11:31:00.000Z"
BZ-PAYTM,"Paytm: Payment of ₹450 made to Big Bazaar via QR code. UPI Ref: 8877xxxxxx","2025-08-05T11:26:00.000Z"
1409000000,"This is RBI. We have noticed unusual activity in your account. Call 1409000000 immediately.","2025-08-05T11:21:00.000Z"
TM-FLPKRT,"Flipkart: Your OTP for login is 543211. Do not share with anyone.","2025-08-05T11:16:00.000Z"
BZ-EBILL,"Your electricity will be disconnected tonight due to pending dues. Pay now: electribill.xyz","2025-08-05T11:11:00.000Z"
TM-UBER,"Uber: Driver has arrived. Please meet at pickup location.","2025-08-05T11:06:00.000Z"
BZ-LOTTO,"You are selected for ₹10 lakh lottery. Send your bank details to claim.","2025-08-05T11:01:00.000Z"
VK-AIRTEL,"Airtel: Recharge successful. ₹299 unlimited plan activated for 28 days.","2025-08-05T10:56:00.000Z"
VK-RBICARD,"Dear Customer, your ATM card has expired. Reactivate now: rbi-helpdesk.net","2025-08-05T10:51:00.000Z"
VK-MYNTRA,"Myntra: ₹120 cashback credited to your wallet for your last purchase.","2025-08-05T10:46:00.000Z"
